header,id,label,cos_sim_with_syn,cos_sim_no_syn,cos_sim_only_syn,jaccard_sim_with_syn,jaccard_sim_only_syn,jaccard_sim_no_syn,sent_sim,relative_length,sent_pos_score,adj_pos_score,adv_pos_score,noun_pos_score,verb_pos_score,sent_baseline,wmd_similarity,pos_noun,pos_verb,pos_adj,pos_adv,parse_nsubj,parse_dobj,parse_root
0,s_1,4,0.6564879417419434,0.6495190262794495,0.6674237847328186,0.48484848484848486,0.5,0.47368421052631576,0.7868131868131869,0.75,0.14285714285714285,0.2,0.0,0.2,0.2,3.0,0.5266,0.7285714285714286,0.7999999999999999,1.0,1.0,0,0,0
1,s_2,4,0.7095748782157898,0.6837635040283203,0.738548994064331,0.5217391304347826,0.5454545454545454,0.5,1.0,0.6363636363636364,0.2222222222222222,0.0,0.2,0.2727272727272727,0.0,3.0,0.7172,1.0,0.0,0.0,1.0,0,0,0
2,s_3,3,0.5423260927200317,0.527046263217926,0.5590169429779053,0.37037037037037035,0.38461538461538464,0.35714285714285715,0.9047619047619048,0.9,0.05263157894736842,1.0,1.0,0.0,1.0,2.0,0.9596,0.9047619047619048,0.0,0.0,0.0,0,0,0
3,s_4,3,0.7622517347335815,0.7701539993286133,0.753778338432312,0.6,0.5882352941176471,0.6111111111111112,0.9545454545454545,0.7058823529411765,0.1724137931034483,0.09090909090909091,0.0,0.25,0.0,4.722222222222222,0.4886,0.8863636363636364,1.0,1.0,0.0,0,0,0
4,s_5,2,0.41147559881210327,0.34815531969070435,0.5039526224136353,0.25806451612903225,0.3333333333333333,0.21052631578947367,0.6433150183150184,0.9166666666666666,0.043478260869565216,0.3333333333333333,0.0,0.0,0.0,0.5882352941176471,0.8266,0.5838675213675214,0.0,1.0,0.0,0,0,0
5,s_6,1,0.29999998211860657,0.27272728085517883,0.3333333730697632,0.17647058823529413,0.2,0.15789473684210525,0.6485871271585557,1.0,0.0,1.0,1.0,0.06666666666666667,0.0,0.6666666666666666,0.8298,0.6485871271585557,0.0,0.0,0.0,0,0,0
6,s_7,5,0.5303301215171814,0.538138210773468,0.5217491984367371,0.35714285714285715,0.35,0.36363636363636365,0.8001095174912071,0.7647058823529411,0.13333333333333333,1.0,0.0,0.18181818181818182,0.0,2.75,0.7489,0.8001095174912071,0.0,0.0,0.0,0,0,0
7,s_8,4,0.654288649559021,0.6405125856399536,0.6689935922622681,0.48484848484848486,0.5,0.47058823529411764,0.8183885640025991,0.9230769230769231,0.04,0.0,0.0,0.1111111111111111,0.3333333333333333,1.7647058823529413,0.4991,0.8109161793372319,0.7,1.0,0.0,0,0,0
8,s_9,4,0.6324555277824402,0.6674237847328186,0.5892556309700012,0.46153846153846156,0.4166666666666667,0.5,0.8056547619047619,0.9090909090909091,0.047619047619047616,0.0,0.3333333333333333,0.06666666666666667,0.0,2.5,0.585,0.7778911564625851,1.0,0.0,0.0,0,0,0
9,s_10,3,0.5656854510307312,0.5262348055839539,0.6123723983764648,0.37037037037037035,0.4166666666666667,0.3333333333333333,0.7333333333333333,0.9090909090909091,0.047619047619047616,0.2,0.0,0.14285714285714285,1.0,2.6470588235294117,0.5458,0.7047619047619047,0.0,1.0,0.0,0,0,0
